,caption,class
181,this is a fading sound at cafe or restaurant,2
182,this is a sound at cafe or restaurant,2
183,cafe or restaurant is playing music,2
184,this is a clear sound of cafe or restaurant,2
185,cafe or restaurant is quiet,2
186,driving cars on cafe or restaurant,2
187,family are watching TV at cafe or restaurant,2
188,a snippet of the cafe or restaurant sound,2
189,a small sound of cafe or restaurant,2
190,sound on cafe or restaurant,2
191,people are gathering at cafe or restaurant,2
192,the sound of cafe or restaurant,2
193,this is a sound in cafe or restaurant,2
194,pets making sound in cafe or restaurant,2
195,cafe or restaurant sound can be heard,2
196,this is a sound on cafe or restaurant,2
197,a noisy cafe or restaurant sound,2
198,silence in cafe or restaurant,2
199,some noise in cafe or restaurant,2
200,they are buying food at cafe or restaurant,2
201,cafe or restaurant,2
202,cafe or restaurant sound in a video,2
203,this is a repetitive sound of cafe or restaurant,2
204,a loud sound of cafe or restaurant,2
205,this is a continuous sound in cafe or restaurant,2
206,animal sounds in cafe or restaurant,2
207,sound in the cafe or restaurant,2
208,they are having fun at cafe or restaurant,2
209,people are travelling on cafe or restaurant,2
210,human activity sound in cafe or restaurant,2
211,the sound of cafe or restaurant,2
212,this is a sound of cafe or restaurant,2
213,a sound at cafe or restaurant,2
214,tourists are shopping in cafe or restaurant,2
215,people are chatting on cafe or restaurant,2
216,a blend of cafe or restaurant sounds,2
217,a clear sound of cafe or restaurant,2
218,a sound of cafe or restaurant,2
219,this is an annoying sound in cafe or restaurant,2
220,someone is doing some cleaning in cafe or restaurant,2
221,people are eating at cafe or restaurant,2
222,cafe or restaurant sound is being recorded,2
223,cars horn in cafe or restaurant,2
224,they are playing sports at cafe or restaurant,2
225,a poor quality recording of cafe or restaurant,2
226,some noise at the cafe or restaurant,2
227,people are talking on cafe or restaurant,2
228,children are playing in cafe or restaurant,2
229,A body is falling on the carpet.,3
230,Someone is adjusting the temperature knob on a car.,3
231,The turn signal on a car is making a sound.,3
232,Someone is pressing the knob on a car radio.,3
233,"A group of vultures are making calls, moving, and flapping their wings on a carcass.",3
234,"Creatures are feeding on a carcass, making snarling, growling, groaning, and hissing sounds. They are panting, and there are birds and insects in the background.",3
235,The tires squeal on a car,3
236,Improvisation on the Carnatic violin is being played.,3
237,The recording device is on a car's bonnet.,3
238,A relay is operating the pulsed direction signals in a vehicle.,3
239,The center console buttons and switches are being toggled in a car.,3
240,The sound of a blown-out tire on a vehicle traveling at a fast speed.,3
241,People are riding on the flatbed of a vehicle and the terrain is rough.,3
242,"Microphone on the fusebox of a car, pointed at the engine block.",3
243,Wind chimes are ringing as they are picked up then dropped on a carpeted floor.,3
244,The blower fans in a car being adjusted while being turned on.,3
245,Male is speaking while banging and rattling on a car goes on in the background,3
246,The acceleration of a car engine as it drives by.,3
247,Someone is adjusting the heater fan setting knob in the car.,3
248,Someone is tapping and rapping their fingernails on a cardboard box.,3
249,Rain is pitter-pattering on the roof of a car.,3
250,An emergency siren on a vehicle is distant but then it gets louder and closer,3
251,Someone is walking on the carpet over wood floor.,3
252,Coins are being dropped on the floor and voices are heard in the background as people are betting on a card game.,3
253,Someone is shuffling on leather seats in the back of a car.,3
254,The friction of small rubber wheels and an electric hum of a motor on a carpet is heard.,3
255,"Someone is saying ""Get in the car."".",3
256,The engine is running on a vehicle,3
257,Someone is playing the saxophone in a car with traffic in the background.,3
258,A character is closing their eye in a cartoon.,3
259,"At a carnival celebration, kids and their parents are enjoying the night life.",3
260,Person in a car with the engine idling and revving the engine from time to time then honks the horn.,3
261,Someone is rubbing their foot on a carpet.,3
262,There is a ride on a vehicle.,3
263,Someone is scratching their fingernails on the ceiling of a car.,3
264,Water was rapidly and repeatedly dropping on the metal of a car that drove by.,3
265,A notebook is making noise while moving on the carpet.,3
266,A diesel locomotive starting to leave as the wheels on the cars start to clack.,3
267,Someone is learning to drive with keys in the car.,3
268,Someone is walking and shuffling their feet on a carpet.,3
269,The sound of vibrations in a cart is being distorted.,3
270,The windshield wipers of a car are on at a high setting.,3
271,"The handbrake on a car is being released then applied, with audible warnings.",3
272,Audible warnings on a car's dashboard are happening during town driving with the window closed.,3
273,Someone is adjusting the driver's seat in a car.,3
274,Loud booming then acceleration and room of a car,3
275,"Someone is saying ""get in the car."".",3
276,A field is being recorded from a car with a background of either a cooling engine or an electricity substation.,3
277,A pot is being hit on the carpet.,3
278,"Many birds are calling, flying, landing, and taking off. They are scavenging on a carcass and making sounds of movement.",3
279,The sound of rain on a car.,3
280,animal sounds in car,3
281,car is quiet,3
282,a recording of car,3
283,family are watching TV at car,3
284,car is playing music,3
285,cars horn in car,3
286,the sound of car,3
287,some noise at the car,3
288,they are buying food at car,3
289,a sound of car,3
290,sound in the car,3
291,a loud sound of car,3
292,this is a sound in car,3
293,a sound at car,3
294,this is a sound on car,3
295,silence in car,3
296,pets making sound in car,3
297,someone is doing some cleaning in car,3
298,car sound can be heard,3
299,a snippet of the car sound,3
300,children are playing in car,3
301,human activity sound in car,3
302,a small sound of car,3
303,the sound of car,3
304,a poor quality recording of car,3
305,this is a continuous sound in car,3
306,car sound is being recorded,3
307,this is a sound of car,3
308,people are eating at car,3
309,people are gathering at car,3
310,sound on car,3
311,they are playing sports at car,3
312,this is a repetitive sound of car,3
313,tourists are shopping in car,3
314,this is an annoying sound in car,3
315,this is a fading sound at car,3
316,car,3
317,this is a clear sound of car,3
318,driving cars on car,3
319,this is a sound at car,3
320,people are travelling on car,3
321,a clear sound of car,3
322,people are chatting on car,3
323,a blend of car sounds,3
324,car sound in a video,3
325,they are having fun at car,3
326,some noise in car,3
327,people are talking on car,3
328,a noisy car sound,3
329,People are singing a prayer in front of a church in the city center.,4
330,Someone is selling umbrellas in the downtown.,4
331,"People, children, and adults are in the city center with scooters passing by, honking, sputtering, and bike bells ringing.",4
332,A quiet street in the city center is present during a corona crisis.,4
333,Someone is walking in the rain in the city center with an umbrella.,4
334,a small sound of city center,4
335,a poor quality recording of city center,4
336,family are watching TV at city center,4
337,this is a sound in city center,4
338,people are eating at city center,4
339,a blend of city center sounds,4
340,they are having fun at city center,4
341,some noise in city center,4
342,driving cars on city center,4
343,city center sound in a video,4
344,sound in the city center,4
345,human activity sound in city center,4
346,a clear sound of city center,4
347,tourists are shopping in city center,4
348,a loud sound of city center,4
349,the sound of city center,4
350,cars horn in city center,4
351,city center is quiet,4
352,this is a sound of city center,4
353,a noisy city center sound,4
354,this is a sound on city center,4
355,some noise at the city center,4
356,this is a fading sound at city center,4
357,someone is doing some cleaning in city center,4
358,this is a sound at city center,4
359,a sound at city center,4
360,city center sound can be heard,4
361,silence in city center,4
362,city center is playing music,4
363,this is an annoying sound in city center,4
364,city center sound is being recorded,4
365,pets making sound in city center,4
366,children are playing in city center,4
367,sound on city center,4
368,people are chatting on city center,4
369,they are playing sports at city center,4
370,this is a continuous sound in city center,4
371,animal sounds in city center,4
372,people are talking on city center,4
373,a sound of city center,4
374,city center,4
375,the sound of city center,4
376,they are buying food at city center,4
377,this is a repetitive sound of city center,4
378,a snippet of the city center sound,4
379,people are travelling on city center,4
380,this is a clear sound of city center,4
381,people are gathering at city center,4
382,a recording of city center,4
383,Loud explosions in the forest in the distance.,5
384,Someone is recording in the forest.,5
385,Either squishing soft material among insects or something moving in the forest at night.,5
386,Birds are chirping in the forest surrounded by urbanization.,5
387,Someone is throwing a cane in the forest.,5
388,Someone is chattering their teeth in the forest.,5
389,Someone is walking in the forest and a tawny owl is calling.,5
390,Someone is walking in the forest with a recorder.,5
391,The sound of an abandoned quarry in the forest.,5
392,The sound of a wagon passing on a forest stone road is simulated.,5
393,The sound of frogs croaking in a forest pond is being recorded.,5
394,A raven is flying overhead in a forest with a droning ambiance and the flapping of its wings is heard.,5
395,Someone is walking in the forest.,5
396,The peaceful atmosphere of a forest is heard with sounds of dripping foliage and background stridulation from insects. Slight bumps are heard.,5
397,"Bird song is heard in a forest, with the sound of waves in the background.",5
398,Someone is walking over squishy ground with water in the forest with birds in the background.,5
399,Impulse response emulating the natural reverb of a forest.,5
400,Someone is walking in the forest with heavy rubber boots.,5
401,The sound of snow sprinkling on branches in the forest.,5
402,Many birds are chirping to one another in a forest.,5
403,Someone is walking on different surfaces in the forest.,5
404,Someone is walking in the forest with snowshoes.,5
405,Someone is walking in the forest leaves.,5
406,Strong wind blowing through the leaves in a forest.,5
407,Someone is running in the forest wearing sneakers.,5
408,Percussions are being recorded in the forest.,5
409,Flight calls from birds flying around in a forest and landing on the ground can be heard.,5
410,Footsteps are being heard on the forest floor.,5
411,Racing motor vehicles are on the track in the forest with ambient noises and birds singing.,5
412,"It's raining in the forest with wolves, owls, and someone cutting woods.",5
413,A bee is buzzing and feeding on the forest floor. A wasp can be heard in the background.,5
414,Various birds call back and forth to one another in a forest,5
415,Someone is walking on a dirt road in the forest.,5
416,"Someone is walking in the forest and hears crackling leaves, distant church bells, and whistling a melody.",5
417,"A person is speaking, birds are chirping in the forest.",5
418,Walking on gravel and leaves in the forest is heard.,5
419,A microphone is being held above a small stream in the forest.,5
420,A bumble bee is buzzing while feeding on the forest floor. Other bees are in the background. Distant wrens and chaffinches can be heard.,5
421,A water running stream going along leaves in the forest.,5
422,"The atmosphere in a forest canopy is being recorded with distant calls from various bird species, insects, and wind rumble on the microphone.",5
423,Branches are scraping against each other while someone is walking in the forest.,5
424,Monkeys are in the forest canopy.,5
425,Bird songs at a pond in the forest at twilight are recorded.,5
426,"The sound of wind, leaves falling, and civilization is being recorded in a forest.",5
427,The sea is washing. Crickets are chirping. Green-winged pigeons are cooing in the forest.,5
428,Someone is walking on leaves in the forest.,5
429,People are walking on a path with birds and sounds of the forest.,5
430,Someone is walking heavily in the forest.,5
431,Many bird species are calling in a forest canopy. Insect stridulation is in the background.,5
432,"Someone is walking on old, dry twigs in the forest.",5
433,Someone walking slowly on a snowy road in the forest is heard.,5
434,Brisk walking can be heard on a path in the forest.,5
435,Someone is walking on gravel and leaves in the forest.,5
436,Monkeys are calling within the forest.,5
437,Someone is walking in the forest with birds and wind.,5
438,In the forest is a person taking rapid strides.,5
439,Sound of someone walking in the forest until they meet someone cutting pine trees.,5
440,Insects and various bird species are calling in the forest with vegetation cracking.,5
441,The sound of branches rustling as monkeys move through trees in a forest is being made.,5
442,Roe deer are roaring in a forest under a rock formation with a gentle wind touching the forest.,5
443,A symphony of frogs is being recorded in the forests.,5
444,A small stream in a forest and occasional bird sounds are being recorded with the background of wind in the trees.,5
445,Sprinkling of snow on branches in the forest is being recorded.,5
446,Chickadees and song sparrows are calling in the forest.,5
447,Rain is falling in the forest with lots of heavy drips on foliage. Background calls from birds can be heard.,5
448,Someone is walking in the snow in the forest.,5
449,Rain is falling on a forest floor with wind in the background.,5
450,Someone is walking on heavy gravel in the forest.,5
451,"The atmosphere of a forest is heard with hooting calls and bird species, along with engine noise.",5
452,Distant calls from gibbons can be heard in the forest. Insects and birds are also making sounds.,5
453,Sound of small pieces of wood in the forest is an illusion.,5
454,Chicks are chirping. Movement is happening on the forest floor.,5
455,Insects and birds are in a forest with a bird tapping on a branch in the background.,5
456,birds are chirping continuously in the forest over a long period of time,5
457,"Wind in the forest, phone recording.",5
458,Waves are breaking onto the edge of a forest shoreline in a large freshwater lake.,5
459,"People are talking and laughing near a campground with sounds of chewing chips, fire noise, and long reverbs in the forest.",5
460,The sound of a forest on another planet is being generated.,5
461,Someone is walking down a gravel road in the forest and birds are singing.,5
462,A mountain bike is passing by fast on a forest road with audible birds in the background.,5
463,Rain is falling onto tree leaves in the forest.,5
464,Someone is breaking a twig in the forest.,5
465,Rain is falling onto the leaves and plants in the forest.,5
466,A small animal is walking in the forest and stepping on twigs while birds are chirping in the background.,5
467,Someone is walking in the forest and footsteps are audible.,5
468,Birds are squawking in tandem with one another in the forest.,5
469,Strong wind is in the forest.,5
470,An animal is making a long call. Haunting grunts and wails are echoing in the forest. Insects are stridulating. Birds are calling in the distance.,5
471,Bird sounds are heard in a forest in the afternoon.,5
472,Birds and village sounds are in the forest environment.,5
473,Someone is throwing a cone in the forest.,5
474,the sound of forest path,5
475,cars horn in forest path,5
476,people are chatting on forest path,5
477,this is an annoying sound in forest path,5
478,some noise at the forest path,5
479,some noise in forest path,5
480,sound in the forest path,5
481,people are talking on forest path,5
482,driving cars on forest path,5
483,children are playing in forest path,5
484,this is a sound at forest path,5
485,forest path is playing music,5
486,they are having fun at forest path,5
487,the sound of forest path,5
488,a snippet of the forest path sound,5
489,a noisy forest path sound,5
490,this is a sound on forest path,5
491,"A person is shopping in a grocery store, including the sound of a floor cleaning machine.",6
492,Someone is shopping at a grocery store with their granddaughters.,6
493,Sounds of someone checking out items at the grocery store.,6
494,a loud sound of grocery store,6
495,grocery store sound is being recorded,6
496,driving cars on grocery store,6
497,they are buying food at grocery store,6
498,pets making sound in grocery store,6
499,this is a continuous sound in grocery store,6
500,a sound of grocery store,6
501,silence in grocery store,6
502,this is a sound on grocery store,6
503,sound on grocery store,6
504,people are travelling on grocery store,6
505,some noise in grocery store,6
506,this is a repetitive sound of grocery store,6
507,a poor quality recording of grocery store,6
508,grocery store sound in a video,6
509,the sound of grocery store,6
510,the sound of grocery store,6
511,this is a sound of grocery store,6
512,a small sound of grocery store,6
513,a recording of grocery store,6
514,grocery store is playing music,6
515,they are having fun at grocery store,6
516,grocery store,6
517,this is a clear sound of grocery store,6
518,a snippet of the grocery store sound,6
519,a noisy grocery store sound,6
520,people are gathering at grocery store,6
521,people are eating at grocery store,6
522,this is a fading sound at grocery store,6
523,this is a sound at grocery store,6
524,cars horn in grocery store,6
525,some noise at the grocery store,6
526,tourists are shopping in grocery store,6
527,people are talking on grocery store,6
528,grocery store is quiet,6
529,someone is doing some cleaning in grocery store,6
530,children are playing in grocery store,6
531,human activity sound in grocery store,6
532,this is an annoying sound in grocery store,6
533,animal sounds in grocery store,6
534,a sound at grocery store,6
535,a blend of grocery store sounds,6
536,family are watching TV at grocery store,6
537,sound in the grocery store,6
538,they are playing sports at grocery store,6
539,a clear sound of grocery store,6
540,this is a sound in grocery store,6
541,people are chatting on grocery store,6
542,grocery store sound can be heard,6
543,Someone is walking in the house.,7
544,Someone is walking down the stairs in a house.,7
545,A bird chirps in the background as a hard rain falls on a house.,7
546,"Hail lands on the house roof, as well as the porch.",7
547,Someone is clicking the doorbell at the entry of a house.,7
548,Creaking wood from being walked on in the home of a person.,7
549,People are gathering in a home environment.,7
550,People are waiting in a home theater with occasional crackling from an open fire.,7
551,There is construction work happening in a house and a new trash disposal apparatus is in the part renovated bathroom.,7
552,a snippet of the home sound,7
553,someone is doing some cleaning in home,7
554,this is a sound at home,7
555,home sound is being recorded,7
556,a sound at home,7
557,a clear sound of home,7
558,people are chatting on home,7
559,people are eating at home,7
560,home,7
561,children are playing in home,7
562,a sound of home,7
563,a recording of home,7
564,this is a continuous sound in home,7
565,tourists are shopping in home,7
566,driving cars on home,7
567,home sound can be heard,7
568,a blend of home sounds,7
569,sound on home,7
570,family are watching TV at home,7
571,people are gathering at home,7
572,the sound of home,7
573,some noise in home,7
574,this is a fading sound at home,7
575,people are talking on home,7
576,home is quiet,7
577,this is a clear sound of home,7
578,they are buying food at home,7
579,this is a sound on home,7
580,silence in home,7
581,a noisy home sound,7
582,home sound in a video,7
583,sound in the home,7
584,pets making sound in home,7
585,animal sounds in home,7
586,they are having fun at home,7
587,people are travelling on home,7
588,some noise at the home,7
589,this is an annoying sound in home,7
590,human activity sound in home,7
591,the sound of home,7
592,a poor quality recording of home,7
593,a small sound of home,7
594,this is a sound in home,7
595,this is a sound of home,7
596,they are playing sports at home,7
597,a loud sound of home,7
598,this is a repetitive sound of home,7
599,cars horn in home,7
600,home is playing music,7
601,Someone is walking fast down the stairs in a library.,8
602,People are talking and there is reverberation in a library.,8
603,Someone is copying a page in the library.,8
604,A pinecone is being struck against the bars of a spiral staircase in a library.,8
605,A woman is typing on a computer in the library.,8
606,A mobile phone ringtone is present in the library.,8
607,Zipper is opening on a notebook in the library.,8
608,Someone is opening and closing the main entrance door in a library lobby.,8
609,Someone is requesting silence in the library.,8
610,Someone is searching for a book in the library.,8
611,Someone is walking and browsing a book in the library.,8
612,people are eating at library,8
613,people are chatting on library,8
614,they are buying food at library,8
615,silence in library,8
616,tourists are shopping in library,8
617,this is a fading sound at library,8
618,a sound of library,8
619,some noise at the library,8
620,the sound of library,8
621,someone is doing some cleaning in library,8
622,this is a sound in library,8
623,library is playing music,8
624,a poor quality recording of library,8
625,family are watching TV at library,8
626,this is a continuous sound in library,8
627,a recording of library,8
628,library sound in a video,8
629,a snippet of the library sound,8
630,human activity sound in library,8
631,pets making sound in library,8
632,a sound at library,8
633,they are playing sports at library,8
634,a blend of library sounds,8
635,library,8
636,they are having fun at library,8
637,people are gathering at library,8
638,a noisy library sound,8
639,the sound of library,8
640,this is a repetitive sound of library,8
641,some noise in library,8
642,cars horn in library,8
643,a loud sound of library,8
644,children are playing in library,8
645,library sound is being recorded,8
646,sound on library,8
647,library sound can be heard,8
648,this is a sound at library,8
649,animal sounds in library,8
650,sound in the library,8
651,library is quiet,8
652,a small sound of library,8
653,this is an annoying sound in library,8
654,people are travelling on library,8
655,people are talking on library,8
656,this is a clear sound of library,8
657,a clear sound of library,8
658,this is a sound on library,8
659,driving cars on library,8
660,this is a sound of library,8
661,People are walking in the entrance of a subway station in the evening.,9
662,The ambience of a subway station is being recorded.,9
663,The announcement of a subway station is being made.,9
664,There is a sound from a fried cable in a subway station.,9
665,People are talking in a tunnel waiting at the subway station.,9
666,Ambience in the hall of an underground station.,9
667,"A subway is approaching, and then stopping while people are chatting in the subway station.",9
668,Someone is having a conversation in the subway station with a local dialect.,9
669,There is an announcement in a subway station.,9
670,some noise at the metro station,9
671,a sound of metro station,9
672,sound in the metro station,9
673,animal sounds in metro station,9
674,this is a sound on metro station,9
675,the sound of metro station,9
676,human activity sound in metro station,9
677,driving cars on metro station,9
678,people are chatting on metro station,9
679,metro station is quiet,9
680,people are eating at metro station,9
681,this is a sound at metro station,9
682,this is a clear sound of metro station,9
683,metro station sound is being recorded,9
684,they are having fun at metro station,9
685,people are travelling on metro station,9
686,this is an annoying sound in metro station,9
687,people are talking on metro station,9
688,a sound at metro station,9
689,metro station sound in a video,9
690,metro station sound can be heard,9
691,cars horn in metro station,9
692,family are watching TV at metro station,9
693,this is a sound in metro station,9
694,they are playing sports at metro station,9
695,some noise in metro station,9
696,a blend of metro station sounds,9
697,metro station,9
698,this is a fading sound at metro station,9
699,a noisy metro station sound,9
700,children are playing in metro station,9
701,a recording of metro station,9
702,people are gathering at metro station,9
703,this is a sound of metro station,9
704,metro station is playing music,9
705,this is a repetitive sound of metro station,9
706,a small sound of metro station,9
707,someone is doing some cleaning in metro station,9
708,pets making sound in metro station,9
709,silence in metro station,9
710,a snippet of the metro station sound,9
711,a clear sound of metro station,9
712,they are buying food at metro station,9
713,this is a continuous sound in metro station,9
714,a poor quality recording of metro station,9
715,the sound of metro station,9
716,sound on metro station,9
717,a loud sound of metro station,9
718,tourists are shopping in metro station,9
719,Distant traffic noise is muffled by the movement of a person in the office.,10
720,Someone is washing their hands in an office restroom.,10
721,Construction works are causing a rumble in the office.,10
722,The printer in the office is continuing to print many copies before the phone rings.,10
723,Water comes out of a gutter forming a puddle on the front doorstep of an office.,10
724,A woman moves her stapler as she converses with another woman in an office.,10
725,Someone is walking down the stairs in an office building.,10
726,There is a rumble in the office with construction works behind the wall.,10
727,Someone is rolling a chair on the office floor.,10
728,Someone is drinking coffee in the office.,10
729,family are watching TV at office,10
730,pets making sound in office,10
731,a noisy office sound,10
732,people are travelling on office,10
733,this is an annoying sound in office,10
734,people are talking on office,10
735,people are gathering at office,10
736,the sound of office,10
737,this is a continuous sound in office,10
738,someone is doing some cleaning in office,10
739,this is a clear sound of office,10
740,this is a sound at office,10
741,sound in the office,10
742,people are eating at office,10
743,human activity sound in office,10
744,some noise in office,10
745,driving cars on office,10
746,people are chatting on office,10
